ID,Root,Plate,Genotype,Sucrose,NaCl,DAG,MRLd
309,0,80,Col-0,NoSucrose,125 mM,5,0.7523289
309,0,80,Col-0,NoSucrose,125 mM,8,1.6365172
309,0,80,Col-0,NoSucrose,125 mM,9,1.9551394
309,0,80,Col-0,NoSucrose,125 mM,10,2.2533264
309,0,80,Col-0,NoSucrose,125 mM,11,2.55275
309,0,80,Col-0,NoSucrose,125 mM,12,2.8406036
310,1,80,Col-0,NoSucrose,125 mM,5,0.93801373
310,1,80,Col-0,NoSucrose,125 mM,8,1.9048796
310,1,80,Col-0,NoSucrose,125 mM,9,2.2238986
310,1,80,Col-0,NoSucrose,125 mM,10,2.4956858
310,1,80,Col-0,NoSucrose,125 mM,11,2.8030148
310,1,80,Col-0,NoSucrose,125 mM,12,3.1536002
353,2,84,Col-0,NoSucrose,125 mM,5,1.0492547
353,2,84,Col-0,NoSucrose,125 mM,8,2.111522
353,2,84,Col-0,NoSucrose,125 mM,9,2.383927
353,2,84,Col-0,NoSucrose,125 mM,10,2.6207783
354,3,84,Col-0,NoSucrose,125 mM,5,1.0624565
354,3,84,Col-0,NoSucrose,125 mM,8,1.9090142
354,3,84,Col-0,NoSucrose,125 mM,9,2.2554774
354,3,84,Col-0,NoSucrose,125 mM,10,2.6547763
329,0,87,Col-0,NoSucrose,125 mM,5,0.8595127
329,0,87,Col-0,NoSucrose,125 mM,8,1.9400873
329,0,87,Col-0,NoSucrose,125 mM,9,2.2350092
329,0,87,Col-0,NoSucrose,125 mM,10,2.5975032
329,0,87,Col-0,NoSucrose,125 mM,11,2.7577078
329,0,87,Col-0,NoSucrose,125 mM,12,3.0050347
330,1,87,Col-0,NoSucrose,125 mM,5,0.9464912
330,1,87,Col-0,NoSucrose,125 mM,8,2.0946743
330,1,87,Col-0,NoSucrose,125 mM,9,2.512477
330,1,87,Col-0,NoSucrose,125 mM,10,2.9065413
330,1,87,Col-0,NoSucrose,125 mM,11,3.222916
330,1,87,Col-0,NoSucrose,125 mM,12,3.5634003
357,2,89,Col-0,NoSucrose,125 mM,5,0.7999493
357,2,89,Col-0,NoSucrose,125 mM,8,1.6645248
357,2,89,Col-0,NoSucrose,125 mM,9,1.9868776
357,2,89,Col-0,NoSucrose,125 mM,10,2.3759768
357,2,89,Col-0,NoSucrose,125 mM,11,2.6879535
357,2,89,Col-0,NoSucrose,125 mM,12,2.9497683
358,3,89,Col-0,NoSucrose,125 mM,5,0.76730615
358,3,89,Col-0,NoSucrose,125 mM,8,1.8400849
358,3,89,Col-0,NoSucrose,125 mM,9,2.183351
358,3,89,Col-0,NoSucrose,125 mM,10,2.590935
358,3,89,Col-0,NoSucrose,125 mM,11,2.9001343
358,3,89,Col-0,NoSucrose,125 mM,12,3.2614915
349,0,90,Col-0,NoSucrose,125 mM,5,0.8104708
349,0,90,Col-0,NoSucrose,125 mM,8,1.7725029
349,0,90,Col-0,NoSucrose,125 mM,9,2.077997
