ID,Plate,Treatment,genotypes,Root,DAG,Angle
288,72,Control,B,3,10,1.7763676
293,74,Control,Col-0,0,10,-5.5921498
294,74,Control,Col-0,1,10,1.7703024
295,74,Control,C,2,10,-2.5667038
296,74,Control,C,3,10,-2.5888063
297,75,Sorbitol,B,0,10,3.0211559
298,75,Sorbitol,B,1,10,4.4877615
299,75,Sorbitol,A,2,10,-2.3124295
300,75,Sorbitol,A,3,10,-0.828366
301,76,Salt,A,0,10,17.2708976
302,76,Salt,A,1,10,27.107818
303,76,Salt,B,2,10,-1.0654556
304,76,Salt,B,3,10,19.3279047
305,77,Salt,B,0,10,16.6509077
306,77,Salt,B,1,10,3.3073955
307,77,Salt,Col-0,2,10,4.5515554
308,77,Salt,Col-0,3,10,4.166442
313,79,Salt,C,0,10,6.1665673
314,79,Salt,C,1,10,13.1363929
315,79,Salt,A,2,10,7.4102628
316,79,Salt,A,3,10,22.0071147
317,80,Control,C,0,10,-3.0671108
318,80,Control,C,1,10,-7.8145021
319,80,Control,A,2,10,-9.7274741
320,80,Control,A,3,10,-9.0449197
